year,sex,school_id,school_name,enrolment
2004,MF,7,Nanyang Technological University,16837.0
2005,F,7,Nanyang Technological University,8094.0
2005,MF,7,Nanyang Technological University,17777.0
2006,F,7,Nanyang Technological University,8797.0
2006,MF,7,Nanyang Technological University,19114.0
2007,F,7,Nanyang Technological University,9769.0
2007,MF,7,Nanyang Technological University,20206.0
2008,F,7,Nanyang Technological University,10409.0
2008,MF,7,Nanyang Technological University,21097.0
2009,F,7,Nanyang Technological University,11105.0
2009,MF,7,Nanyang Technological University,22450.0
2010,F,7,Nanyang Technological University,11389.0
2010,MF,7,Nanyang Technological University,22862.0
2011,F,7,Nanyang Technological University,11354.0
2011,MF,7,Nanyang Technological University,23040.0
2012,F,7,Nanyang Technological University,11386.0
2012,MF,7,Nanyang Technological University,22862.0
2013,F,7,Nanyang Technological University,11517.0
2013,MF,7,Nanyang Technological University,22777.0
2014,F,7,Nanyang Technological University,11623.0
2014,MF,7,Nanyang Technological University,23021.0
2015,F,7,Nanyang Technological University,11860.0
2015,MF,7,Nanyang Technological University,23512.0
2016,F,7,Nanyang Technological University,11633.0
2016,MF,7,Nanyang Technological University,23495.0
2017,F,7,Nanyang Technological University,11079.0
2017,MF,7,Nanyang Technological University,22934.0
2018,F,7,Nanyang Technological University,10896.0
2018,MF,7,Nanyang Technological University,22813.0
2019,F,7,Nanyang Technological University,11120.0
2019,MF,7,Nanyang Technological University,23063.0
2020,F,7,Nanyang Technological University,11499.0
2020,MF,7,Nanyang Technological University,23758.0
2021,F,7,Nanyang Technological University,11352.0
2021,MF,7,Nanyang Technological University,24074.0
2022,F,7,Nanyang Technological University,11085.0
2022,MF,7,Nanyang Technological University,23876.0
2023,F,7,Nanyang Technological University,11081.0
2023,MF,7,Nanyang Technological University,24117.0
2024,F,7,Nanyang Technological University,11190.0
2024,MF,7,Nanyang Technological University,24228.0
2000,F,13,Singapore Management University,212.0
2000,MF,13,Singapore Management University,305.0
2001,F,13,Singapore Management University,579.0
2001,MF,13,Singapore Management University,803.0
2002,F,13,Singapore Management University,974.0
2002,MF,13,Singapore Management University,1389.0
2003,F,13,Singapore Management University,1469.0
2003,MF,13,Singapore Management University,2182.0
2004,F,13,Singapore Management University,1991.0
2004,MF,13,Singapore Management University,3010.0
2005,F,13,Singapore Management University,2239.0
2005,MF,13,Singapore Management University,3781.0
2006,F,13,Singapore Management University,2429.0
2006,MF,13,Singapore Management University,4259.0
2007,F,13,Singapore Management University,2758.0
2007,MF,13,Singapore Management University,5178.0
2008,F,13,Singapore Management University,2993.0
2008,MF,13,Singapore Management University,5721.0
2009,F,13,Singapore Management University,3295.0
2009,MF,13,Singapore Management University,6331.0
2010,F,13,Singapore Management University,3525.0
2010,MF,13,Singapore Management University,6721.0
2011,F,13,Singapore Management University,3523.0
2011,MF,13,Singapore Management University,6853.0
2012,F,13,Singapore Management University,3684.0
2012,MF,13,Singapore Management University,7108.0
2013,F,13,Singapore Management University,3789.0
2013,MF,13,Singapore Management University,7297.0
2014,F,13,Singapore Management University,3883.0
2014,MF,13,Singapore Management University,7515.0
2015,F,13,Singapore Management University,4062.0
2015,MF,13,Singapore Management University,7740.0
2016,F,13,Singapore Management University,4047.0
2016,MF,13,Singapore Management University,7827.0
2017,F,13,Singapore Management University,4193.0
2017,MF,13,Singapore Management University,7979.0
2018,F,13,Singapore Management University,4486.0
2018,MF,13,Singapore Management University,8182.0
2019,F,13,Singapore Management University,4855.0
2019,MF,13,Singapore Management University,8656.0
2020,F,13,Singapore Management University,5276.0
2020,MF,13,Singapore Management University,9144.0
2021,F,13,Singapore Management University,5512.0
2021,MF,13,Singapore Management University,9580.0
2022,F,13,Singapore Management University,5512.0
2022,MF,13,Singapore Management University,9883.0
2023,F,13,Singapore Management University,5670.0
2023,MF,13,Singapore Management University,10129.0
2024,F,13,Singapore Management University,5493.0
2024,MF,13,Singapore Management University,10137.0
2010,F,12,Singapore Institute of Technology,275.0
2010,MF,12,Singapore Institute of Technology,523.0
2011,F,12,Singapore Institute of Technology,732.0
2011,MF,12,Singapore Institute of Technology,1416.0
2012,F,12,Singapore Institute of Technology,1246.0
2012,MF,12,Singapore Institute of Technology,2587.0
2013,F,12,Singapore Institute of Technology,1317.0
2013,MF,12,Singapore Institute of Technology,3051.0
2014,F,12,Singapore Institute of Technology,1482.0
2014,MF,12,Singapore Institute of Technology,3557.0
2015,F,12,Singapore Institute of Technology,1693.0
2015,MF,12,Singapore Institute of Technology,4039.0
2016,F,12,Singapore Institute of Technology,2306.0
2016,MF,12,Singapore Institute of Technology,5230.0
2017,F,12,Singapore Institute of Technology,2626.0
2017,MF,12,Singapore Institute of Technology,6138.0
2018,F,12,Singapore Institute of Technology,2905.0
