year,sex,school_id,school_name,graduates
2006,MF,7,Nanyang Technological University,4241.0
2007,F,7,Nanyang Technological University,2127.0
2007,MF,7,Nanyang Technological University,4845.0
2008,F,7,Nanyang Technological University,2286.0
2008,MF,7,Nanyang Technological University,4808.0
2009,F,7,Nanyang Technological University,2570.0
2009,MF,7,Nanyang Technological University,5058.0
2010,F,7,Nanyang Technological University,2544.0
2010,MF,7,Nanyang Technological University,5412.0
2011,F,7,Nanyang Technological University,2951.0
2011,MF,7,Nanyang Technological University,5733.0
2012,F,7,Nanyang Technological University,2909.0
2012,MF,7,Nanyang Technological University,5807.0
2013,F,7,Nanyang Technological University,3310.0
2013,MF,7,Nanyang Technological University,6476.0
2014,F,7,Nanyang Technological University,2951.0
2014,MF,7,Nanyang Technological University,5993.0
2015,F,7,Nanyang Technological University,2777.0
2015,MF,7,Nanyang Technological University,5756.0
2016,F,7,Nanyang Technological University,3066.0
2016,MF,7,Nanyang Technological University,5856.0
2017,F,7,Nanyang Technological University,3266.0
2017,MF,7,Nanyang Technological University,6174.0
2018,F,7,Nanyang Technological University,2953.0
2018,MF,7,Nanyang Technological University,5990.0
2019,F,7,Nanyang Technological University,2836.0
2019,MF,7,Nanyang Technological University,5997.0
2020,F,7,Nanyang Technological University,2882.0
2020,MF,7,Nanyang Technological University,5840.0
2021,F,7,Nanyang Technological University,2744.0
2021,MF,7,Nanyang Technological University,5691.0
2022,F,7,Nanyang Technological University,2820.0
2022,MF,7,Nanyang Technological University,6020.0
2023,F,7,Nanyang Technological University,3016.0
2023,MF,7,Nanyang Technological University,6041.0
2024,F,7,Nanyang Technological University,2986.0
2024,MF,7,Nanyang Technological University,6132.0
2003,F,13,Singapore Management University,4.0
2003,MF,13,Singapore Management University,8.0
2004,F,13,Singapore Management University,167.0
2004,MF,13,Singapore Management University,240.0
2005,F,13,Singapore Management University,315.0
2005,MF,13,Singapore Management University,408.0
2006,F,13,Singapore Management University,399.0
2006,MF,13,Singapore Management University,565.0
2007,F,13,Singapore Management University,500.0
2007,MF,13,Singapore Management University,826.0
2008,F,13,Singapore Management University,686.0
2008,MF,13,Singapore Management University,1063.0
2009,F,13,Singapore Management University,562.0
2009,MF,13,Singapore Management University,1110.0
2010,F,13,Singapore Management University,546.0
2010,MF,13,Singapore Management University,1206.0
2011,F,13,Singapore Management University,831.0
2011,MF,13,Singapore Management University,1504.0
2012,F,13,Singapore Management University,919.0
2012,MF,13,Singapore Management University,1603.0
2013,F,13,Singapore Management University,834.0
2013,MF,13,Singapore Management University,1659.0
2014,F,13,Singapore Management University,772.0
2014,MF,13,Singapore Management University,1602.0
2015,F,13,Singapore Management University,840.0
2015,MF,13,Singapore Management University,1639.0
2016,F,13,Singapore Management University,1030.0
2016,MF,13,Singapore Management University,1804.0
2017,F,13,Singapore Management University,920.0
2017,MF,13,Singapore Management University,1779.0
2018,F,13,Singapore Management University,903.0
2018,MF,13,Singapore Management University,1887.0
2019,F,13,Singapore Management University,984.0
2019,MF,13,Singapore Management University,1842.0
2020,F,13,Singapore Management University,1023.0
2020,MF,13,Singapore Management University,1883.0
2021,F,13,Singapore Management University,1043.0
2021,MF,13,Singapore Management University,1914.0
2022,F,13,Singapore Management University,1116.0
2022,MF,13,Singapore Management University,1982.0
2023,F,13,Singapore Management University,1317.0
2023,MF,13,Singapore Management University,2257.0
2024,F,13,Singapore Management University,1409.0
2024,MF,13,Singapore Management University,2300.0
2012,F,12,Singapore Institute of Technology,134.0
2012,MF,12,Singapore Institute of Technology,233.0
2013,F,12,Singapore Institute of Technology,559.0
2013,MF,12,Singapore Institute of Technology,958.0
2014,F,12,Singapore Institute of Technology,583.0
2014,MF,12,Singapore Institute of Technology,1236.0
2015,F,12,Singapore Institute of Technology,602.0
2015,MF,12,Singapore Institute of Technology,1364.0
2016,F,12,Singapore Institute of Technology,539.0
2016,MF,12,Singapore Institute of Technology,1285.0
2017,F,12,Singapore Institute of Technology,695.0
2017,MF,12,Singapore Institute of Technology,1494.0
2018,F,12,Singapore Institute of Technology,749.0
2018,MF,12,Singapore Institute of Technology,1744.0
2019,F,12,Singapore Institute of Technology,836.0
2019,MF,12,Singapore Institute of Technology,1759.0
2020,F,12,Singapore Institute of Technology,890.0
2020,MF,12,Singapore Institute of Technology,2172.0
2021,F,12,Singapore Institute of Technology,863.0
2021,MF,12,Singapore Institute of Technology,1991.0
2022,F,12,Singapore Institute of Technology,831.0
2022,MF,12,Singapore Institute of Technology,2185.0
2023,F,12,Singapore Institute of Technology,1026.0
2023,MF,12,Singapore Institute of Technology,2426.0
2024,F,12,Singapore Institute of Technology,1196.0
2024,MF,12,Singapore Institute of Technology,2731.0
2015,F,16,Singapore University of Technology and Design,136.0
2015,MF,16,Singapore University of Technology and Design,298.0
2016,F,16,Singapore University of Technology and Design,93.0
2016,MF,16,Singapore University of Technology and Design,246.0
2017,F,16,Singapore University of Technology and Design,107.0
2017,MF,16,Singapore University of Technology and Design,267.0
2018,F,16,Singapore University of Technology and Design,152.0
2018,MF,16,Singapore University of Technology and Design,334.0
2019,F,16,Singapore University of Technology and Design,167.0
2019,MF,16,Singapore University of Technology and Design,431.0
2020,F,16,Singapore University of Technology and Design,128.0
2020,MF,16,Singapore University of Technology and Design,373.0
2021,F,16,Singapore University of Technology and Design,145.0
2021,MF,16,Singapore University of Technology and Design,449.0
2022,F,16,Singapore University of Technology and Design,155.0
2022,MF,16,Singapore University of Technology and Design,401.0
2023,F,16,Singapore University of Technology and Design,11.0
2023,MF,16,Singapore University of Technology and Design,28.0
2024,F,16,Singapore University of Technology and Design,176.0
2024,MF,16,Singapore University of Technology and Design,439.0
2018,F,15,Singapore University of Social Sciences,112.0
2018,MF,15,Singapore University of Social Sciences,168.0
2019,F,15,Singapore University of Social Sciences,180.0
2019,MF,15,Singapore University of Social Sciences,251.0
2020,F,15,Singapore University of Social Sciences,259.0
2020,MF,15,Singapore University of Social Sciences,381.0
2021,F,15,Singapore University of Social Sciences,374.0
2021,MF,15,Singapore University of Social Sciences,519.0
2022,F,15,Singapore University of Social Sciences,458.0
2022,MF,15,Singapore University of Social Sciences,662.0
2023,F,15,Singapore University of Social Sciences,460.0
2023,MF,15,Singapore University of Social Sciences,809.0
2024,F,15,Singapore University of Social Sciences,543.0
2024,MF,15,Singapore University of Social Sciences,864.0
1983,F,8,National Institute of Education,453.0
1983,MF,8,National Institute of Education,597.0
1984,F,8,National Institute of Education,687.0
1984,MF,8,National Institute of Education,875.0
1985,F,8,National Institute of Education,407.0
1985,MF,8,National Institute of Education,531.0
1986,F,8,National Institute of Education,580.0
1986,MF,8,National Institute of Education,756.0
1987,F,8,National Institute of Education,679.0
1987,MF,8,National Institute of Education,852.0
1988,F,8,National Institute of Education,806.0
1988,MF,8,National Institute of Education,1022.0
1989,F,8,National Institute of Education,621.0
1989,MF,8,National Institute of Education,833.0
1990,F,8,National Institute of Education,694.0
1990,MF,8,National Institute of Education,929.0
1991,F,8,National Institute of Education,760.0
1991,MF,8,National Institute of Education,1026.0
1992,F,8,National Institute of Education,934.0
1992,MF,8,National Institute of Education,1223.0
1993,F,8,National Institute of Education,867.0
1993,MF,8,National Institute of Education,1157.0
1994,F,8,National Institute of Education,942.0
1994,MF,8,National Institute of Education,1266.0
1995,F,8,National Institute of Education,740.0
1995,MF,8,National Institute of Education,1056.0
1996,F,8,National Institute of Education,679.0
1996,MF,8,National Institute of Education,946.0
1997,F,8,National Institute of Education,1148.0
